"filename", "language", "JavaScript", "HTML", "Markdown", "JavaScript JSX", "XML", "SCSS", "JSON", "CSS", "comment", "blank", "total"
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\fieldHockey.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\football.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\golf.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\gun.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\gymnastics.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\handball.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\high_jump.svg", "XML", 0, 0, 0, 0, 31, 0, 0, 0, 0, 2, 33
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\hockey.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\horse.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\hourglass.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\judo.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\jumping_hurdles.svg", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 2, 30
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\karate.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\kayaking.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\long_jump.svg", "XML", 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 35
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\modernPentathlon.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\olympic_flame.svg", "XML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\ping_pong.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\rowing.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\rugby.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\running.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\sailing.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\shooting.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\shooting2.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\shot_put.svg", "XML", 0, 0, 0, 0, 29, 0, 0, 0, 0, 2, 31
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\skateboarding.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\soccer.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\surfing.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\swim.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\swimrun.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\synchronized_swimming.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\tableTenis.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\taekwondo.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\tennis.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\tennisRacquet.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\triathlon.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\volleyball.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\walk_race.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\waterpolo.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 2, 40
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\weightlifting.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\competitions\wrestling.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\earth.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\ellipse.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\home\loans.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\location.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\home\login.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Igor\Downloads\Randolympics\public\home\morale.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\newspaper.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\radioTower.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\right_arrow.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\home\startProgressContainer.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Igor\Downloads\Randolympics\public\home\trust.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\home\user.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\home\verticalDivider.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\locales\en\orig_translation_backup.json", "JSON", 0, 0, 0, 0, 0, 0, 1557, 0, 0, 547, 2104
"c:\Users\Igor\Downloads\Randolympics\public\locales\en\translation.json", "JSON", 0, 0, 0, 0, 0, 0, 1580, 0, 0, 17, 1597
"c:\Users\Igor\Downloads\Randolympics\public\locales\fr\translation.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 9
"c:\Users\Igor\Downloads\Randolympics\public\locales\sr\translation.json", "JSON", 0, 0, 0, 0, 0, 0, 34, 0, 0, 8, 42
"c:\Users\Igor\Downloads\Randolympics\public\login\login.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Igor\Downloads\Randolympics\public\login\logo.svg", "XML", 0, 0, 0, 0, 26, 0, 0, 0, 0, 1, 27
"c:\Users\Igor\Downloads\Randolympics\public\login\other_sign_in.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\ballot.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\ballot_dark.svg", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\continue.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\exit.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\info.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\login_history.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\login_history_dark.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\news.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\news_dark.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\passport.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\passport_dark.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\pencil.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Igor\Downloads\Randolympics\public\myaccount\rejected.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
